indicator_slug,F-001,F-002,F-003,F-004,F-005,F-006,F-007,F-008,F-009,F-010,F-011,F-012,F-013,F-014,F-015,F-016,F-017,F-018,F-019,F-020,F-021,POST /crecust/insert,POST /creacc/insert,GET /inqcustz/enquiry/{custno},GET /inqaccz/enquiry/{accno},GET /inqacccz/list/{custno},PUT /updcust/update,PUT /updacc/update,DELETE /delacc/remove/{accno},DELETE /delcus/remove/{custno},PUT /makepayment/dbcr,GET /webui-1.0/banking/companyName,GET /webui-1.0/banking/sortCode,POST /webui-1.0/banking/account,GET /webui-1.0/banking/account,GET /webui-1.0/banking/account/{accountNumber},GET /webui-1.0/banking/account/retrieveByCustomerNumber/{customerNumber},GET /webui-1.0/banking/account/balance,PUT /webui-1.0/banking/account/{id},PUT /webui-1.0/banking/account/debit/{id},PUT /webui-1.0/banking/account/credit/{id},PUT /webui-1.0/banking/account/transfer/{id},DELETE /webui-1.0/banking/account/{accountNumber},POST /webui-1.0/banking/customer,GET /webui-1.0/banking/customer,GET /webui-1.0/banking/customer/{id},GET /webui-1.0/banking/customer/name,GET /webui-1.0/banking/customer/all/town/{town},GET /webui-1.0/banking/customer/all/surname/{surname},GET /webui-1.0/banking/customer/all/age/{age},PUT /webui-1.0/banking/customer/{id},DELETE /webui-1.0/banking/customer/{id},GET /webui-1.0/banking/processedTransaction,POST /webui-1.0/banking/processedTransaction/debitCreditAccount,POST /webui-1.0/banking/processedTransaction/transferLocal,POST /webui-1.0/banking/processedTransaction/deleteCustomer,POST /webui-1.0/banking/processedTransaction/createCustomer,POST /webui-1.0/banking/processedTransaction/deleteAccount,POST /webui-1.0/banking/processedTransaction/createAccount
proctran-type-code,,,,C,,W,W,,,,,,W,W,W,W,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X
proctran-logical-delete-flag,,,,C,,W,W,,,,,,W,W,W,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newaccno-function-flag,,,,,C,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
newcusno-function-flag,,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crecust-success-flag,,,,,,W,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crecust-fail-code,,,,,,W,,,,,,,,,,,,,X,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbcrfun-success-flag,,,,,,,,,,,,,,,W,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbcrfun-fail-code,,,,,,,,,,,,,,,W,,,,X,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
account-available-balance,,C,,,,,C,,R,R,,R,R,X,W,W,,C,X,R,X,,X,,X,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,
account-actual-balance,,C,,,,,C,,R,R,,R,R,X,W,W,,C,X,R,X,,X,,X,,,,,,X,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,X,X
customer-credit-score,,,C,,,C,X,R,,X,W,,,R,,,C,C,X,,,,,X,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,X,,,,,,,
